raw_file_name	sample_ID	sample_name
guot_L130610_003_SW	nci1	LE_CCRFCEM_a
guot_L130610_004_SW	nci2	LC_EKVX_a
guot_L130610_005_SW	nci3	CO_HCT116_a
guot_L130610_006_SW	nci4	OV_IGROV1_a
guot_L130611_007_SW	nci5	RE_RXF393_a
guot_L130611_010_SW	nci6	RE_CAKI1_a
guot_L130611_011_SW	nci7	CO_KM12_a
guot_L130611_012_SW	nci8	CNS_SF539_a
guot_L130611_013_SW	nci9	ME_SKMEL2_a
guot_L130611_014_SW	nci10	OV_SKOV3_a
guot_L130612_002_SW	nci11	RE_7860_a
guot_L130612_003_SW	nci12	CO_HT29_a
guot_L130612_004_SW	nci13	LE_K562_a
guot_L130612_005_SW	nci14	BR_MDAMB231_a
guot_L130612_006_SW	nci15	ME_SKMEL5_a
guot_L130613_002_SW	nci16	LE_HL60_a
guot_L130613_003_SW	nci17	BR_MCF7_a
guot_L130613_004_SW	nci18	CNS_SF295_a
guot_L130613_005_SW	nci19	ME_SKMEL28_a
guot_L130613_006_SW	nci20	CO_SW620_a
guot_L130614_002_SW	nci21	RE_A498_a
guot_L130614_003_SW	nci22	LC_NCIH322M_a
guot_L130614_004_SW	nci23	OV_OVCAR8_a
guot_L130614_005_SW	nci24	CNS_SNB19_a
guot_L130614_006_SW	nci25	ME_UACC62_a
guot_L130615_002_SW	nci26	RE_ACHN_a
guot_L130615_003_SW	nci27	ME_MALME3M_a
guot_L130615_004_SW	nci28	OV_OVCAR4_a
guot_L130615_005_SW	nci29	LE_RPMI8226_a
guot_L130615_006_SW	nci30	BR_T47D_a
guot_L130616_002_SW	nci31	LC_A549_a
guot_L130616_003_SW	nci32	BR_BT549_a
guot_L130616_004_SW	nci33	LC_NCIH522_a
guot_L130616_005_SW	nci34	RE_TK10_a
guot_L130616_006_SW	nci35	ME_UACC257_a
guot_L130617_002_SW	nci36	PR_DU145_a
guot_L130617_003_SW	nci37	CO_HCT15_a
guot_L130617_004_SW	nci38	LE_MOLT4_a
guot_L130617_005_SW	nci39	LC_NCIH460_a
guot_L130617_006_SW	nci40	CNS_U251_a
guot_L130618_002_SW	nci41	CO_COLO205_a
guot_L130618_003_SW	nci42	BR_MDAMB468_a
guot_L130618_004_SW	nci43	LC_NCIH226_a
guot_L130618_005_SW	nci44	OV_OVCAR3_a
guot_L130618_006_SW	nci45	CNS_SF268_a
guot_L130619_002_SW	nci46	CO_HCC2998_a
